tanggal,tweets,tweet_clean,sentiment_MP,sentiment_NB
2022-11-10,@Metro_TV @kemkominfo Untuk siaran digital MetroTV group di Jatiasih Kota Bekasi timbul tenggelam. Padahal dulu saat uji coba sebelum ASO lancar jaya. Mohon perhatiannya. Terima kasih Untuk @TVRINasional @TRANSTV_CORP @SCTV @tvOneNews @langitRTV @Beritasatu dll cukup bagus.,siaran digital metrotv group jatiasih kota bekasi timbul tenggelam uji coba aso lancar jaya mohon perhatiannya terima kasih dll bagus,positif,1
2022-11-10,"@AREAJULID Emang sosialisasinya masih kurang banget
Gambar digital dari stb itu emng jernih, tp butuh antena yang lumayan bagus &amp; pastiin juga di daerah situ sudah tersedia sinyal digital untuk stasiun tv tertentu (bisa di cek via aplikasi ""sinyal tv digital"")",emang sosialisasinya banget gambar digital stb emng jernih tp butuh antena lumayan bagus amp pastiin daerah situ tersedia sinyal digital stasiun tv cek via aplikasi sinyal tv digital,netral,1
2022-11-10,@kempanrb @KemenBUMN @kemkominfo woy kenapa NET TV gak ada di siaran digital kalian wahai negara?,woy net tv gak siaran digital negara,netral,0
2022-11-10,"Mulai Rp100,000 Harga #STB TV Digital Sertifikasi Kominfo  https://t.co/xzg8QlivNj #kominfo #Settopbox #Tvdigital",harga tv digital sertifikasi kominfo,netral,1
2022-11-10,"@AREAJULID TV digital hanya menangkap sinyal bagus dan tidak. Beda dg analog, walaupun ada, sinyal jelek, masih bisa ditangkap.",tv digital menangkap sinyal bagus tidak beda dg analog sinyal jelek ditangkap,negatif,1
2022-11-10,[Daftar] Daftar 70 Merek STB TV Digital Sertifikasi Kominfo https://t.co/Fw7MCBYgcM #Video #daftar #Digital #KOMINFO https://t.co/TOga32fZ30,daftar daftar merek stb tv digital sertifikasi kominfo,netral,1
2022-11-10,"@AREAJULID Perasaan ada aplikasi sinyal tv digital,, please jangan hp doang yng smart, cari info gmna caranya biar gk gampang ngeluh,,,",perasaan aplikasi sinyal tv digital please jangan hp doang yng smart cari info gmna biar gk gampang ngeluh,positif,0
2022-11-10,@PramuajiAjay Gencar promosinya di mentari tv dmna sblm pindah tv digital ga smua org tau nih chanel. Tp justru krna d chanel ini anak gw umur 6 thn jd tau WC dn jd keranjingan  nonton bola,gencar promosinya mentari tv dmna sblm pindah tv digital ga smua org tau nih chanel tp krna d chanel anak gw umur thn jd tau wc dn jd keranjingan nonton bola,netral,1
2022-11-10,"@PramuajiAjay Sekarang mau hahahihi rame2 tv nya tau2 jd digital, pas piala dunia mulai siaran di tv konvensional ilang semua. Hah hoh ngang ngong doang.",hahahihi rame tv tau jd digital pas piala dunia siaran tv konvensional ilang hah hoh ngang ngong doang,netral,1
2022-11-10,"@PramuajiAjay Sepertinya juga faktor digital. kalau dulu apa yg ditampilkan di TV akan menjadi bahasan semua org, saat ini di digital fokusnya terlalu banyak membuat hypenya ndak terlalu kedengaran.
Selain itu minat gen Z ke sepakbola juga sepertinya mulai turun.",faktor digital ditampilkan tv bahasan org digital fokusnya hypenya ndak kedengaran minat gen z sepakbola turun,negatif,1
2022-11-10,Rekomendasi Set Top BoX TV DIGITAL 100Ribuan Gratis Ongkir Langsung Cek Keranjang Kuning. #settopboxtvdigital #stb #tvdigital #tvdigitalindonesia #settopboxmurah #settopboxadvance #settopbox #mbps #dvbt #m #tvdigital #stb #dvbs #wifiadapter #k #wifidongle #siapdigital,rekomendasi set top box tv digital ribuan gratis ongkir langsung cek keranjang kuning,positif,1
2022-11-10,"@AREAJULID saya sampe terniat dari oktober akhir belikan Tv untuk ortu yg include DVBT2 didalamnya , pas di scan pake antena dalam gak ada satupun channel digital yg nyangkut di daerah saya... asemm",sampe terniat oktober belikan tv ortu include dvbt didalamnya pas scan pake antena gak satupun channel digital nyangkut daerah asemm,netral,1
2022-11-10,"#topOferta  TV 32” LG LED HD 2 HDMI 1 USB PRO Conversor Digital 32LT330HBSB - R$ 899,10  #LG #led https://t.co/5QvdpNtadJ",tv lg led hd hdmi usb pro conversor digital lthbsb r,netral,1
2022-11-10,"@AREAJULID Termasuk MNC group. Kesimpulannya, sinyal tv digital jelek tidak hanya dari lokasi aja. Masalah perangkat juga harus diperhatikan, pemilihan STB juga penting. Kadang ada STB yg gacor ada yg bapuk juga. Selain itu dari antena, kabel, Jack. Kalo perlu pake Boster. Dan kesabaran",mnc group kesimpulannya sinyal tv digital jelek tidak lokasi perangkat diperhatikan pemilihan stb kadang stb gacor bapuk antena kabel jack pake boster kesabaran,netral,1
2022-11-10,"@AREAJULID Gue mah udah biasa, waktu tv analog malah dapetnya cuma beberapa channel aja, 10an doang, itu pun kebanyakan TVRI, pas jadi tv digital channel-nya jd 40 lebih 😂",gue mah tv analog dapetnya channel an doang kebanyakan tvri pas tv digital channel jd,netral,1
2022-11-10,"Indonesia Jadi Ketua ASEAN 2023, Siap Lanjutkan Isu Prioritas G20, Ada Transformasi Digital https://t.co/NOFxc6gpA4 https://t.co/cdeAqoJvq9",indonesia ketua asean lanjutkan isu prioritas g transformasi digital,netral,1
2022-11-10,"https://t.co/KDIaLeBMXy

misalkan, gambar satelit(kanan) adalah ""hoax"", dan arah antena spt gambar kiri.

kira-kira sistem ataukah layer atmosphere mana yg digunakan utk bisa menerima signal broadcast tv ""satelit"" C-Band (4-8 GHz) / Ku-Band (11-18 GHz): https://t.co/u0Ntr9qX5O",gambar satelit kanan hoax arah antena spt gambar kiri sistem layer atmosphere utk menerima signal broadcast tv satelit c band ghz ku band ghz,positif,1
2022-11-10,"Coba cek ini, deh: ""PX Antena TV Antena Indoor Digital Analog DA-1301NP / DA1301NP"" Rp65.000 di toko Bonbon_Elektronik Tokopedia. Bisa bebas ongkir, lho.
https://t.co/HyrhAOnFp4 https://t.co/NzVsSjaY9Z",coba cek deh px antena tv antena indoor digital analog da np danp toko bonbon elektronik tokopedia bebas ongkir lho,netral,0
2022-11-10,"Coba cek ini, deh: ""Set Top Box TV Digital DVB-T2 / Antena Digital | Bervin"" Rp280.000 di toko BervinOfficial Tokopedia. Bisa bebas ongkir, lho.
https://t.co/cAFTZxa4Pd https://t.co/nCGqpZbPYL",coba cek deh set top box tv digital dvb antena digital bervin toko bervinofficial tokopedia bebas ongkir lho,netral,0
2022-11-10,"Coba cek ini, deh: ""TV Digital Receiver Set Top Box Pro STB HDMI Garansi Evercoss Official - Unit Mega Box"" Rp199.999 di toko IVANCELL Official Store Tokopedia. Bisa bebas ongkir, lho.
https://t.co/dKhQMpMbOz https://t.co/AhpXhN11tR",coba cek deh tv digital receiver set top box pro stb hdmi garansi evercoss official unit mega box toko ivancell official store tokopedia bebas ongkir lho,netral,0
2022-11-10,"@keuangannews_id Raakyat nya sih disuruh modern biar gak ketinggalan sama negara Laen, nonton tv siaran digital, lah pemilunya nya malah mundur pake kardus 🤣, bangkeeee",raakyat sih disuruh modern biar gak ketinggalan negara laen nonton tv siaran digital pemilunya mundur pake kardus bangkeeee,negatif,0
2022-11-10,"Coba cek ini, deh: ""CHiQ Smart tv 43 Inch Newest Android11 Frameless Digital LED TV L43G7P"" Rp2.764.000 di toko CHiQ Official Store Tokopedia. Bisa bebas ongkir, lho.
https://t.co/JMHhFzrn5E https://t.co/zmIiNLZymP",coba cek deh chiq smart tv inch newest android frameless digital led tv lgp toko chiq official store tokopedia bebas ongkir lho,netral,1
2022-11-10,"Coba cek ini, deh: ""PX DA-5900 5900B Antena TV Digital Indoor Outdoor - GARANSI 18 BULAN - DA 5900 WHITE"" Rp143.000 di toko Finnix Store Tokopedia. Bisa bebas ongkir, lho.
https://t.co/rG8qAlLGLq https://t.co/mhG8xZwnaU",coba cek deh px da b antena tv digital indoor outdoor garansi da white toko finnix store tokopedia bebas ongkir lho,netral,0
2022-11-10,"Coba cek ini, deh: ""Polytron LED Smart TV 24 Inch PLD 24MV1859 Digital Youtube Mola - UNIT ONLY"" Rp1.410.400 di toko DPRINCE Tokopedia. Bisa bebas ongkir, lho.
https://t.co/TBRDFIcRLL https://t.co/1AmmcRLJVB",coba cek deh polytron led smart tv inch pld mv digital youtube mola unit only toko dprince tokopedia bebas ongkir lho,netral,0
2022-11-10,"Coba cek ini, deh: ""COOCAA LED TV 40 INCH -ANDROID 11.0- Digital TV - 2.4G/5G WIFI (40S7G)"" Rp2.510.011 di toko Coocaa Official Store Tokopedia. Bisa bebas ongkir, lho.
https://t.co/ahnKoglzMi https://t.co/fWJR0eOv5r",coba cek deh coocaa led tv inch android digital tv g g wifi sg toko coocaa official store tokopedia bebas ongkir lho,netral,1
2022-11-10,@AREAJULID Emang sering ilang signal tapi aku ga pake stb tv ku dah bawaan bisa pake digital yang paling cepet muncul sih sejauh ini tvri  dg 3 channelnya,emang ilang signal ga pake stb tv ku dah bawaan pake digital cepet muncul sih tvri dg channelnya,negatif,0
2022-11-10,"Coba cek ini, deh: ""Antena TV Indoor Digital INTRA INT-HD14"" Rp29.000 di toko homart Tokopedia. Bisa bebas ongkir, lho.
https://t.co/LL03UVDrig https://t.co/Mugnw5NowA",coba cek deh antena tv indoor digital intra int hd toko homart tokopedia bebas ongkir lho,netral,0
2022-11-10,"‼️ DISKON 10RB ‼️
Pisau dapur set ⤵️
https://t.co/4lbjkL8Ntj 

DOWNY ⤵️
https://t.co/wMpwgvziED 

Antena TV Digital ⤵️
https://t.co/R4TkG92ZvX

#ShopeePayTHR #KlikKeranjangOren #ShopeeVideoGratisOngkir #Shopee1111 https://t.co/iFipc0PCCb",diskon rb pisau dapur set downy antena tv digital,netral,1
2022-11-10,"Ketauan belangnya
Tv analog di matikan,
Maunya ditigal 
Urus SDM dan SDA aja gak becus mau pake urus 5G dan digital https://t.co/ORBDEm7D3J",ketauan belangnya tv analog matikan maunya ditigal urus sdm sda gak becus pake urus g digital,positif,0
2022-11-10,"‼️ DISKON 10RB ‼️
Pisau dapur set ⤵️
https://t.co/g06NppfDt8 

DOWNY ⤵️
https://t.co/fgc45ua9eK 

Antena TV Digital ⤵️
https://t.co/QbVXaUUUEL

#ShopeePayTHR #KlikKeranjangOren #ShopeeVideoGratisOngkir https://t.co/zNk57jQQLD",diskon rb pisau dapur set downy antena tv digital,netral,1
2022-11-10,"#SobatDigital menyapa Jumat berkah🎉
Diskusi Publik Virtual
Sosialisasi #AnalogSwitchOff (ASO) dan Seremoni Penyerahan #SetTopBox ( STB) Kementerian Kominfo Bersama Komisi I DPR RI
-Saatnya Lampung Migrasi ke TV Digital-
Ada E-Certificate dan Doorprize 🎁
Daftar di link berikut: https://t.co/Bnti3oyoN7",menyapa jumat berkah diskusi publik virtual sosialisasi aso seremoni penyerahan stb kementerian kominfo komisi i dpr ri lampung migrasi tv digital e certificate doorprize daftar link,netral,1
2022-11-10,@DokterTifa Mau tv analog.. mau tv digital.. ttp aja yg ditonton tuh Hp.,tv analog tv digital ttp ditonton tuh hp,netral,1
2022-11-10,"@PramuajiAjay setuju, terutama perpindahan ke dunia digital yg berdampak banget karna lebih banyak informasi selain tentang pildun. kalo dulu di tv pasti ngeliatnya tentang pildun makanya aing ngerasain pildun 2010 itu terbaik",setuju perpindahan dunia digital berdampak banget karna informasi pildun tv ngeliatnya pildun aing ngerasain pildun terbaik,positif,1
2022-11-10,"@AREAJULID Bukannya belom sempurna, antena yg lo pake mungkin jelek atau letaknya ga kurang pas. Itu yg pake stb tapi gada gambarnya pake antena apa kaga? Soialisasinya masih kurang, ga semua orang paham sama tv digital. Yg tau tolong kasih tau yg ga tau",belom sempurna antena lo pake jelek letaknya ga pas pake stb gada gambarnya pake antena kaga soialisasinya ga orang paham tv digital tau tolong kasih tau ga tau,netral,0
2022-11-10,"Di maklumi ya bestieee saat sinyal TV digital Hilang krna pihak yg menanganinya tengah melakukan perawatan teknis.
@PlateJohnny 
@kemkominfo https://t.co/o3zJRDDloO",maklumi bestieee sinyal tv digital hilang krna menanganinya perawatan teknis,negatif,1
2022-11-10,"@tokopedia Minto, aku mau Smart TV. Soalnya tv ku dah jadul banget gak bisa buat nonton tv lg.  Pengen smart tv biar bisa nonton channel tv digital dan nonton kdrama #SaldoKaget #KebutGoPaydiTokopedia https://t.co/Y5SLhXGmXS",minto smart tv tv ku dah jadul banget gak nonton tv lg pengen smart tv biar nonton channel tv digital nonton kdrama,netral,1
2022-11-10,@Muhammad_Saewad TV digital kualitas gambar dan audio nya setara DVD,tv digital kualitas gambar audio setara dvd,netral,1
2022-11-10,"Pelaksanaan ASO jg untungkan Televisi Swasta lhooo.
Yuk Dukungigrasi ke TV Digital mulai skrg ya.
@kemkominfo 
@PlateJohnny https://t.co/tF0YP0tVzM",pelaksanaan aso jg untungkan televisi swasta lhooo yuk dukungigrasi tv digital skrg,netral,1
2022-11-10,"@tvOneNews tvOne paling ga bisa sinyalnya, yg lain semua ada, grup viva blank di tv digital.",tvone ga sinyalnya grup viva blank tv digital,netral,1
2022-11-10,"Coba cek ini, deh: ""Set Top Box Matrix Apple DVBT-2 STB Antena TV Digital Wifi Merah - Antena Outdoor"" Rp129.000 di toko artic Tokopedia. Bisa bebas ongkir, lho.
https://t.co/WcS7wI1Mt7 https://t.co/Y7VIwGXy5x",coba cek deh set top box matrix apple dvbt stb antena tv digital wifi merah antena outdoor toko artic tokopedia bebas ongkir lho,netral,0
2022-11-10,"Dear All,

pakai antena Digital biar lebih bagus gambar tv nya. Kalau antena biasa, kadang emang suka ga lengkap dan sinyal putus. Antena digital juga ga mahal kok. Di rumah sudah pakai. Kebetulan tv nya sudah support digital tv. Android tv juga.",dear all pakai antena digital biar bagus gambar tv antena kadang emang suka ga lengkap sinyal putus antena digital ga mahal rumah pakai tv support digital tv android tv,netral,1
2022-11-10,"@imthejoy123 @alfiprtma811 @AREAJULID Klo agak pelosok pake pf hdu25, agak mahal tp, yg lebih murah ada intra zeus. Dua""nya jangkauannya jauh, sampe 125 km. Klo gak begitu jauh dr pemancar pake pf hdu 19 cukup. Tv digital gak usah pake boster, punyaku nggak pake, daper banyak, kurang di antv aja",klo pelosok pake pf hdu mahal tp murah intra zeus jangkauannya sampe km klo gak dr pemancar pake pf hdu tv digital gak pake boster punyaku nggak pake daper antv,netral,1
2022-11-10,"@Muhammad_Saewad klo buat org miskin STB itu gratis.. buat yg ga miskin tapi masih pake TV tabung ada brp yaa?.. drpd beli STB 300rb mending beli TV digital kali.. ada byk yg harganya dibawah 1jt...
plg org pelit yg malah beli STB",klo org miskin stb gratis ga miskin pake tv tabung brp yaa drpd beli stb rb mending beli tv digital kali byk harganya dibawah jt plg org pelit beli stb,negatif,1
2022-11-10,"@AREAJULID Gw punya android tv, dulu sebelum tv analog di non aktifkan semua channel dapet tapi setelah aturan non aktif tv analog mnc group sama emtek group jadi no signal terus, yg siaran bagus cuma trans group aja. Ini overload kali ya sinyal nya. Antena digital pake merk toyos*ki",gw android tv tv analog non aktifkan channel dapet aturan non aktif tv analog mnc group emtek group no signal siaran bagus trans group overload kali sinyal antena digital pake merk toyos ki,positif,1
2022-11-10,"repot emang yee mau nonton tv doang

intinya, masih banyak warga kita belum siap alih ke digital also masih gaptek juga cara pakenya termasuk gue. kalo bukan suami gue yg masang dan jelasin juga gue ga bakal paham wkwkwk

dah pada bobo ajaa dahh",repot emang yee nonton tv doang intinya warga alih digital also gaptek pakenya gue bukan suami gue masang jelasin gue ga paham wkwkwk dah bobo ajaa dahh,negatif,0
2022-11-10,"@AREAJULID Tahun lalu baru beli TV, nyari2 info akhirnya memutuskan beli TV digital yg bukan smart TV. Beli android box aja kalo mau internet. Ga perlu pake STB tinggal colokin antena biasa aja, tp pastikan antena nya tinggi. Sejauh ini dapet 30-an channel. Tp mmg si MNC grup sering ilang2",beli tv nyari info memutuskan beli tv digital bukan smart tv beli android box internet ga pake stb tinggal colokin antena tp pastikan antena dapet an channel tp mmg si mnc grup ilang,netral,1
2022-11-10,"@AREAJULID Jdi agak bingung apa bedanya tv digital ama analog slain beda frekuensi 

Pemahaman gw itu tv digital pke internet kek indigo ama mnc",jdi bingung bedanya tv digital ama analog slain beda frekuensi pemahaman gw tv digital pke internet kek indigo ama mnc,negatif,1
2022-11-10,Keluh Warga Lebak Tak Bisa Nonton Siaran TV Digital Meski Sudah Pasang STB https://t.co/RyeZwKJBFD,keluh warga lebak tak nonton siaran tv digital pasang stb,negatif,1
2022-11-10,"@JE0N00NA @AREAJULID Arahin antena ke tower pemancar tv digital jangan asal. ikutin arah panahnya liat di apk sinyal tv digital. Kemungkinan emtek group (Indosiar, SCTV) itu di acak/Scramble jadi waktu di scan manual/otomatis gak muncul. Coba setting mode pencarian ke semua jangan hanya fta/only fta",arahin antena tower pemancar tv digital jangan ikutin arah panahnya liat apk sinyal tv digital emtek group indosiar sctv acak scramble scan manual otomatis gak muncul coba setting mode pencarian jangan fta only fta,positif,1
2022-11-10,"@AREAJULID Ya itu mah antenanya aja yang kurang tinggi atau ga cocok. Tv digital gabisa/kemungkinannya kecil buat nangkep sinyal kalo pake antena kecil yang dipasang diatas tv. Kayak di kalimantan dari dulu udah pake STB, pakenya parabola gede semua, dipasang di halaman atau atap rumah",mah antenanya ga cocok tv digital gabisa nangkep sinyal pake antena dipasang diatas tv kayak kalimantan pake stb pakenya parabola gede dipasang halaman atap rumah,positif,1
2022-11-10,"@DJPPIKominfo , ...
Katanya berubah ke tv digital gambar jernih suara bersih nyatanya kalau pas hujan gambar hilang,  tidak ada sinyal... Kok bisa begitu kenapa ya.",berubah tv digital gambar jernih suara bersih pas hujan gambar hilang tidak sinyal,negatif,1
2022-11-10,"@AREAJULID BODO AMAT dengan tv digital... Emang udah lama nggak nonton TV.. acaranya kebanyakan sampah...

Udah ada YouTube... Kenapa pusing dengan TV??

@kemkominfo",bodo tv digital emang nggak nonton tv acaranya kebanyakan sampah youtube pusing tv,negatif,1
2022-11-10,"@AREAJULID Gatau ga enak banget, masa di gua tv digital nya mnc sama global sendet2 anjir, yang lain bagus2 aja.",gatau ga enak banget gua tv digital mnc global sendet anjir bagus,positif,1
2022-11-10,"@AREAJULID tp si kalo di tv yng emng udh digital tanpa stb ku udh bagus, emng beneran jernih, channel nya makin banyak",tp si tv yng emng udh digital stb ku udh bagus emng beneran jernih channel,positif,0
2022-11-10,Tv digital mantap,tv digital mantap,positif,1
2022-11-10,"@barcastuff_idn Keknya belum dimaksimalkan ya buat MNC group. Soalnya si Hary Tanoe kek memprotes gitu soal tv digital.
Anjing emang. Giliran udah diresmikan sama Kominfo konto, dia baru protes.",keknya dimaksimalkan mnc group si hary tanoe kek memprotes gitu tv digital anjing emang giliran diresmikan kominfo konto protes,negatif,1
2022-11-10,"Balada ganti ke siaran digital. Beli set top box mahal, dikasihnya kabel RCA. Tahu2nya colokannya ga cocok ma yg di TV. Belilah kabel hdmi to hdmi dan konektor antena. Eh, malah yg kebeli mini hdmi to hdmi. Pake konektor antena ga dapat sinyal.",balada ganti siaran digital beli set top box mahal dikasihnya kabel rca tahunya colokannya ga cocok ma tv belilah kabel hdmi to hdmi konektor antena eh kebeli mini hdmi to hdmi pake konektor antena ga sinyal,netral,1
2022-11-10,TV Digital Kini Bisa Diakses Secara Penuh! Apa Yang kita peroleh? https://t.co/BIveo3bBNX https://t.co/mOcX7P0Q1L,tv digital diakses penuh peroleh,netral,1
2022-11-10,TV Digital Kini Bisa Diakses Secara Penuh! Apa Yang kita peroleh? https://t.co/25Y1R0wLw6 https://t.co/7LBmvvFWNf,tv digital diakses penuh peroleh,netral,1
2022-11-10,TV Digital Kini Bisa Diakses Secara Penuh! Apa Yang kita peroleh? https://t.co/RtrRMQyqUP https://t.co/u9fxZNISv9,tv digital diakses penuh peroleh,netral,1
2022-11-10,TV Digital Kini Bisa Diakses Secara Penuh! Apa Yang kita peroleh? https://t.co/QsC7N4LBF3 https://t.co/gfzbMgE84r,tv digital diakses penuh peroleh,netral,1
2022-11-10,TV Digital Kini Bisa Diakses Secara Penuh! Apa Yang kita peroleh? https://t.co/BWDFe4ue7O https://t.co/gMksGPvF6K,tv digital diakses penuh peroleh,netral,1
2022-11-10,TV Digital Kini Bisa Diakses Secara Penuh! Apa Yang kita peroleh? https://t.co/zlbL4F9frM https://t.co/aedF0wYuuz,tv digital diakses penuh peroleh,netral,1
2022-11-10,TV Digital Kini Bisa Diakses Secara Penuh! Apa Yang kita peroleh? https://t.co/mnrfMOhiO9 https://t.co/BZmkiWfQ7e,tv digital diakses penuh peroleh,netral,1
2022-11-10,"@AREAJULID Baru berpindah ke TV digital. Awalnya ngedat2 terus no signal. Setelah ganti resolusinya jadi lebih kecil, langsung jadi lancar jaya.",berpindah tv digital ngedat no signal ganti resolusinya langsung lancar jaya,positif,1
2022-11-10,@senyummajaa Jelas skrg urutan 5 tv nya🤣🤣semenjak beralih ke digital,skrg urutan tv semenjak beralih digital,netral,1
2022-11-10,"Tv digital kalian ada RCTI, Global, Mnctv, Inews tv gak?",tv digital rcti global mnctv inews tv gak,netral,1
